Statute,Merit,Settled,Settled_Other,Total_Positive_Outcomes_for_Complainants,Dismissed,Kick_Out,Withdrawn,Total_Determinations,Fiscal_Year
ACA,0,0,1,1,13,0,1,15,2019
AHERA,0,1,1,2,0,0,0,2,2019
AIR21,1,6,9,16,50,0,18,84,2019
CFPA,1,6,2,9,32,1,6,48,2019
CPSIA,0,1,1,2,3,0,0,5,2019
EPA,2,4,3,9,31,0,6,46,2019
ERA,1,0,13,14,23,2,5,44,2019
FRSA,1,1,32,34,179,34,18,265,2019
FSMA,0,5,7,12,53,0,10,75,2019
ISCA,0,0,0,0,0,0,0,0,2019
MAP21,0,1,3,4,3,1,0,8,2019
NTSSA,2,2,2,6,12,0,0,18,2019
OSHA,14,272,273,559,1067,0,392,2018,2019
PSIA,1,0,0,1,5,0,0,6,2019
SOX,1,6,15,22,92,15,19,148,2019
SPA,0,1,3,4,5,0,1,10,2019
STAA,2,29,31,62,222,12,40,336,2019
TFA,0,0,0,0,1,0,1,2,2019
