Full_Statute,Statute_Title,Statute_Code,Statute
29 U.S.C. § 218C,Affordable Care Act (ACA),ACA,ACA
15 U.S.C. § 2651,Asbestos Hazard Emergency Response Act (AHERA),AHERA,AHERA
42 U.S.C. § 7622,Clean Air Act (CAA),CAA,EPA
42 U.S.C. § 9610,"Comprehensive Environmental Response, Compensation and Liability Act (CERCLA)",CERCLA,EPA
12 U.S.C. § 5567,Consumer Financial Protection Act of 2010 (CFPA),CFPA,CFPA
15 U.S.C. § 2087,Consumer Product Safety Improvement Act (CPSIA),CPSIA,CPSIA
42 U.S.C. § 5851,Energy Reorganization Act (ERA),ERA,ERA
21 U.S.C. § 399d,FDA Food Safety Modernization Act (FSMA),FSMA,FSMA
49 U.S.C. § 20109,Federal Railroad Safety Act (FRSA),FRSA,FRSA
33 U.S.C. § 1367,Federal Water Pollution Control Act (FWPCA),FWPCA,EPA
46 U.S.C. § 80507,International Safe Container Act (ISCA),ISCA,ISCA
49 U.S.C. § 30171,Moving Ahead for Progress in the 21st Century Act (MAP-21),MAP21,MAP21
6 U.S.C. § 1142,National Transit Systems Security Act (NTSSA),NTSSA,NTSSA
29 U.S.C. § 660(c),"Occupational Safety and Health Act (OSH Act), Section 11(c)",OSHA,OSHA
49 U.S.C. § 60129,Pipeline Safety Improvement Act (PSIA),PSIA,PSIA
42 U.S.C. § 300j-9(i),Safe Drinking Water Act (SDWA),SDWA,EPA
18 U.S.C. § 1514A,Sarbanes-Oxley Act (SOX),SOX,SOX
46 U.S.C. § 2114,Seaman's Protection Act (SPA),SPA,SPA
42 U.S.C. § 6971,Solid Waste Disposal Act (SWDA),SWDA,EPA
49 U.S.C. § 31105,Surface Transportation Assistance Act (STAA),STAA,STAA
26 U.S.C. § 7623(d),Taxpayer First Act (TFA),TFA,TFA
15 U.S.C. § 2622,Toxic Substances Control Act (TSCA),TSCA,EPA
49 U.S.C. § 42121,Wendell H. Ford Aviation Investment and Reform Act for the 21st Century (AIR21),AIR21,AIR21
